英日TAT200,,,,,,,,,
Danh từ,Động từ,Trợ động từ,Tính từ,Trợ từ,Tiền tố,Từ nối,Thục ngữ,,
Clothing,Direction,Nature,Culture,Daily Routines,Relationship,Weather,Office,Travel,TAT200
accountant,会計係[士]、計理士、主計(官),Danh từ,Office,I answer the accountant's questions.,私は会計士の質問に答える。,,,,
accuracy,正確さ、精度,Danh từ,TAT200,to increase accuracy,精度をあげる,,,,
acquaintance,知人,Danh từ,Relationship,Have a wide acquaintance,顔が広い,,,,
across,～を横切って,Tiền tố,Direction,The clouds are driving across the sky.,雲脚が早い。,,,,
affect,～に影響を与える,Động từ,TAT200,Don't affect the scholar.,学者ぶるな。,,,,
along,～に沿って,Tiền tố,Direction,Get along with you!,行ってしまえ!,,,,
alongside,と平行に、横に,Trợ từ,Direction,The ship is lying alongside the pier.,船は桟橋に着いている,,,,
ant,アリ,Danh từ,Nature,He is like an ant entrapped in a doodlebug's pit.,彼は蟻地獄に落ちたアリのようなものだ。,,,,
around,～の周りに,Tiền tố,Direction,He's around somewhere.,彼はどこかにいる。,,,,
arrive,到着する,Động từ,Travel,Did you arrive at the house?,家に着きましたか?,,,,
assistant,助手、補助者、補佐,Danh từ,Office,an assistant coach,副コーチ,,,,
aunt,叔母,Danh từ,Relationship,My aunt lives in America.,私の叔母は、アメリカに住んでいます。,,,,
away from,～から離れて,Thục ngữ,Direction,He ran away from home.,彼は家出をしていた。,,,,
belt,ベルト,Danh từ,Clothing,Ms.Minami purchased a pelvis belt for easily correcting the deviation of the pelvis.,南先生は骨盤矯正のために骨盤ベルトを購入した。,,,,
bib,よだれかけ,Danh từ,Clothing,This is a kind of bib.,これはよだれかけの一種です。,,,,
bra,ブラジャー,Danh từ,Clothing,Ms.Tanaka has a push-up bra.,田中さんは谷間を強調するブラジャーを持っている。,,,,
breakfast,朝食,Danh từ,Daily Routines,I skipped breakfast today.,今日、私は朝食を抜いてきた。,,,,
breeze,微風、そよ風,Danh từ,Weather,the warm breeze that blows in spring,春の温かい風,,,,
bright,明るい、晴朗な,Tính từ,Weather,I am bright and cheerful.,私は明るいです。,,,,
cap,帽子,Danh từ,Clothing,You must take off your cap here.,ここでは帽子を脱がなければならない。,,,,
care,世話,Danh từ,Daily Routines,Take care!,お元気で!,,,,
cartoon,アニメ,Danh từ,Culture,My most favorite cartoon is xxx.,私の一番好きなアニメはxxxです。,,,,
check in,〔ホテルなどに〕記帳する、 チェックインする、 〔空港で〕搭乗手続きをする,Động từ,Travel,Check in at the reception desk.,受付をしてください。,,,,
chilly,冷え冷えする、うすら寒い,Tính từ,Weather,the chilly climate of autumn,秋のひややかな気候,,,,
Christmas,クリスマス,Danh từ,Culture,A merry Christmas!,クリスマスおめでとう!,,,,
clean,掃除する,Động từ,Daily Routines,You should clean your teeth.,歯を磨くべきだ。,,,,
cleaning,掃除,Danh từ,Daily Routines,do the cleaning,掃除する,,,,
clothes,衣類、服,Danh từ,Clothing,John put on his special clothes.,ジョンは特別な服を着た。,,,,
cloudy,曇りの,Tính từ,Weather,The sky becomes cloudy.,空が曇る。,,,,
commercial,商業(上)の、商事の; 通商[貿易](上)の.,Tính từ,Office,a commercial organization,商業団体,,,,
communication,伝えること[通信、伝達、連絡],Danh từ,TAT200,The railway communication was interrupted.,鉄道が不通になった。,,,,
consist of,～から成り立っている,Thục ngữ,TAT200,Education doesn't consist of learning a lot of facts.,教育とは多くの事柄を覚えることにあるのではない。,,,,
consumer,消費者,Danh từ,Office,the consumer price index,消費者物価指数,,,,
corporation,法人、 社団法人.,Danh từ,Office,a corporation aggregate,社団法人,,,,
cousin,いとこ,Danh từ,Relationship,He's distant cousin of mine.,彼は、私の遠くのいとこです。,,,,
cruise,巡航する、 歩き回る,Động từ,Travel,a warship on a cruise,遊戈中の軍艦,,,,
cultivate,～を耕す,Động từ,Nature,cultivate a field,畑を耕す,,,,
cultural,文化的な,Tính từ,Culture,Cultural properties,文化財,,,,
culture,文化,Danh từ,Culture,primitive culture,原始文明,,,,
dam,ダム,Danh từ,Nature,The dam burst because of much rain.,大雨のためダムは決壊した。,,,,
damp,湿気のある、じめじめした、しめっぽい,Tính từ,Weather,This is a damp house.,この家は湿気る。,,,,
dance,踊り,Danh từ,Culture,a social dance,社交ダンス,,,,
delay,遅滞,Danh từ,Travel,an unavoidable delay,やむをえない遅れ,,,,
depart,出発する,Động từ,Travel,What time will you depart?,何時に出発しますか?,,,,
destination,目的地、行き先、到着地[港],Danh từ,Travel,It has no fixed destination.,目的地は未定です。,,,,
dimension,大きさ、特性、要因、次元,Danh từ,TAT200,the property of having one dimension,1つの次元をもっているという特性,,,,
dinner,夕食,Danh từ,Daily Routines,a one-course dinner,一品料理,,,,
direction,方向、方角,Danh từ,Direction,The lucky direction in this year is the south.,今年の恵方は南である。,,,,
discuss,論議する,Động từ,Office,It's time to discuss.,話し合う時間だ。,,,,
distinctive,明確に区別できる,Tính từ,TAT200,a distinctive taste,特有の味,,,,
diversity,相違点、多様性,Danh từ,TAT200,lingual diversity,言語の多様性,,,,
divorced,離婚,Tính từ,Relationship,Many divorced men remarry and have second families.,多くの離婚する男性には再婚して、第2の家族があります。,,,,
dress,ドレス,Danh từ,Clothing,I danced in folk dress.,私は民族衣装を着て踊った。,,,,
drizzle,細雨、霧雨、こぬか雨,Danh từ,Weather,"It rained hard for two or three hours, and then turned to a light drizzle.",雨が2、3 時間激しく降ってから、小雨に変わった。,,,,
dull,〈天気が〉どんよりした、曇っている、 うっとうしい。,Tính từ,Weather,a dull day,曇った日,,,,
durability,耐久性,Danh từ,TAT200,durability enhancement in housing,住宅の耐久性強化,,,,
Earth,地球,Danh từ,Nature,The Earth goes around the sun.,地球は太陽の周りを回る。,,,,
east,東,Danh từ,Direction,The counterdirection of the west is the east.,西の反対の方角は東である。,,,,
eastern,東の,Tính từ,Direction,The battles between the eastern and western armies started in 1600.,東西軍の運命を決定する戦いが1600年に始まった。,,,,
easternmost,最東(端)の,Tính từ,Direction,The easternmost station in Japan is Higashi-Nemuro station.,日本の最東端の駅は東根室駅である。,,,,
eat,～を食べる,Động từ,Daily Routines,Mr.Nakajo prepared the chopsticks to eat the sushi.,中條さんは、寿司を食べるために箸を用意した。,,,,
employee,従業員,Danh từ,Office,to conduct employee training,社員研修を行う,,,,
engaged,婚約,Tính từ,Relationship,When did you get engaged?,いつ、あなたは婚約しましたか?,,,,
evaluate,評価する,Động từ,TAT200,evaluate an expression,式を評価する,,,,
excursion,小旅行、遠足,Danh từ,Travel,a school excursion,遠足,,,,
exercise,運動,Danh từ,Daily Routines,do physical exercise,体操する,,,,
fabricate,偽造する、組み立てる,Động từ,TAT200,To safely fabricate building materials in a small working space.,小さな作業域で問題なく建材を加工品に仕上げること。,,,,
fare,運賃、料金,Danh từ,Travel,How much is the fare?,運賃はいくらですか,,,,
fashion,流行,Danh từ,Culture,the latest fashion,最近の流行,,,,
festival,祭り,Danh từ,Culture,a athletic festival,体育祭,,,,
flight,飛行,Danh từ,Travel,a hasty flight,急な飛行,,,,
fog,霧、濃霧,Danh từ,Weather,A dense fog rolled over the city.,濃霧が町をおおい込みました。,,,,
